address,lat,lng,price,bed,bath,sqft,lotSize,property_type,property_style,year_built
"9 Dale Ave Mulgrave, NS B0E 2G0",45.612607,-61.390572,16000.0,,,0,6639.0,Land,,
"Andreas Pop Dr Evanston, NS B0E 1J0",0.0,0.0,120000.0,,,0,96912.0,Land,,
"108 Main Street Whycocomagh 2, NS B0E 2K0",0.0,0.0,29000.0,,,0,3402.0,Land,,
"Shaws Lake Pondville, NS B0E 1A0",0.0,0.0,65000.0,,,0,1655280.0,Land,,
"Lot Cabot Trail La Prairie, NS B0E 1L0",46.532623,-61.058933,20000.0,,,0,120226.0,Land,,
"Highway 105 Baddeck, NS B0E 1B0",0.0,0.0,89000.0,,,0,3746160.0,Land,,
"West Big Intervale Road Big Intervale, NS B0E 2C0",46.393112,-60.976257,239000.0,,,0,1655280.0,Land,,
"Pepperell Street St. Peter's, NS B0E 3B0",0.0,0.0,119000.0,,,0,65340.0,Land,,
"Cabot Trail Grand Tang, NS B0E 1L0",0.0,0.0,50000.0,,,0,217800.0,Land,,
"Militia Point Road Inverness, NS B0E 2Y0",0.0,0.0,119000.0,,,0,178748.0,Land,,
"Lot 8 Lower River Rd Hureauville, NS B0E 1J0",0.0,0.0,49000.0,,,0,107158.0,Land,,
"82 Tower Rd Mulgrave, NS B0E 2G0",45.602093,-61.395325,1600000.0,4.0,4.0,0,539708.0,Single Family,,1995.0
"69 John Hughie Lanebaddeck Inlt Baddeck, NS B0E 1B0",46.077213,-60.824203,245000.0,2.0,1.0,0,15298.0,Single Family,,
"1049 Evanston Rd Evanston, NS B0E 1A0",0.0,0.0,324000.0,4.0,2.0,0,9527.0,Single Family,,1987.0
"Lot 29 Andreas Popp Ln Evanston, NS B0E 1J0",0.0,0.0,90000.0,,,0,109832.0,Land,,
"Lot Southside Petit De Grat Road Alderney Point, NS B0E 2L0",0.0,0.0,30000.0,,,0,191664.0,Land,,
"125 Doris Ln Kempt Road, NS B0E 1J0",0.0,0.0,45000.0,,,0,112881.0,Land,,
"7 Lances Ln D'escousse, NS B0E 1K0",0.0,0.0,449900.0,3.0,2.0,0,110642.0,Single Family,Bungalow,
"Campbells Point Grand Lake, NS B0E 1K0",0.0,0.0,190000.0,,,0,675180.0,Land,,
"Old Cabot Trail Grand Tang, NS B0E 1L0",0.0,0.0,99900.0,,,0,142981.0,Land,,
"Highway 223 Estmere, NS B0E 1T0",0.0,0.0,35000.0,,,0,1524600.0,Land,,
"Cabot Trail North East Margaree, NS B0E 2H0",0.0,0.0,50000.0,,,0,89947.0,Land,,
"Lot 2b Wall Street Cape George Estates, NS B0E 3B0",0.0,0.0,64500.0,,,0,104980.0,Land,,
"3 Grandique Rd Arichat, NS B0E 1K0",45.512353,-61.015528,197000.0,,,0,312273.0,Land,,
"West Lake Ainslie Road West Lake Ainslie, NS B0E 1N0",0.0,0.0,195500.0,,,0,521413.0,Land,,
"39 Tamarak Ln Baddeck Inlet, NS B0E 1B0",0.0,0.0,299000.0,3.0,1.0,0,126324.0,Single Family,,1953.0
"Orangedale Road Orangedale, NS B0E 2B7",0.0,0.0,52500.0,,,0,121968.0,Land,,
"0 Round Is Estmere, NS B0E 1T0",0.0,0.0,775000.0,,,0,2352240.0,Land,,
"5276 Marble Mountain Rd Marble Mountain, NS B0E 3K0",0.0,0.0,875000.0,3.0,3.0,0,35000.0,Single Family,"2 Level,Cape Cod",2008.0
"0 Highway 223 Estmere, NS B0E 1T0",0.0,0.0,50000.0,,,0,378972.0,Land,,
"Highway 223 Estmere, NS B0E 1T0",0.0,0.0,85000.0,,,0,3702600.0,Land,,
"Cabot Trail LONG POINT, NS B0E 1H0",0.0,0.0,169900.0,,,0,2352240.0,Land,,
"1223 Highway 223 Estmere, NS B0E 1T0",45.978172,-60.96389,350000.0,4.0,2.0,0,3702600.0,Single Family,,1922.0
"276 Southside Petit De Grat Rd Alderney Point, NS B0E 2L0",45.510624,-60.966034,265000.0,3.0,2.0,0,10999.0,Single Family,,1947.0
"9127 Highway 4 River Tillard, NS B0E 2X0",0.0,0.0,289000.0,2.0,2.0,0,65340.0,Single Family,,
"843 Grand Gully Rd River Bourgeois, NS B0E 2X9",45.631695,-60.929813,349900.0,1.0,1.0,0,181876.0,Single Family,,2004.0
"443 Murray St Mulgrave, NS B0E 2G0",45.605068,-61.390762,169500.0,3.0,2.0,0,5998.0,Single Family,,
"River Denys Mountain Road River Denys, NS B0E 1M0",45.660141,-60.566727,82000.0,,,0,4356000.0,Land,,
"Grand Gully Island River Tillard, NS B0E 2X0",45.640953,-60.908829,99000.0,,,0,1829612.0,Land,,
"Lot 17 Militia Point Road Militia Point, NS B0E 2Y0",0.0,0.0,69000.0,,,0,97953.0,Land,,
"East Big Intervale Road Kingross, NS B0E 2C0",0.0,0.0,55000.0,,,0,1058508.0,Land,,
"19 Marchand Ln Louisdale, NS B0E 1V0",45.608051,-61.064476,449000.0,3.0,2.0,0,32378.0,Single Family,Bungalow,2000.0
"Lot 1a-31 Maple Drive Cape George Estates, NS B0E 3B0",45.697334,-60.883572,89000.0,,,0,162479.0,Land,,
"325 Lakefront Dr LOCH LOMOND, NS B0E 0A4",45.747146,-60.600503,199900.0,,,0,182952.0,Land,,
"129 Grandique Ferry Rd Louisdale, NS B0E 1V0",45.605713,-61.059498,215000.0,3.0,2.0,0,19898.0,Single Family,,1907.0
"8532 Highway 19 Port Hood, NS B0E 2W0",46.020779,-61.496658,479900.0,3.0,2.0,0,21911.0,Single Family,Bungalow,
"Lot 9 Bald Eagle Drive Aberdeen, NS B0E 3M0",0.0,0.0,75000.0,,,0,79510.0,Land,,
"3 Wall St Cape George Estates, NS B0E 3B0",0.0,0.0,70000.0,,,0,109336.0,Land,,
"Lot 9b Lakefront Drive Loch Lomond West, NS B0E 1M0",0.0,0.0,74900.0,,,0,128066.0,Land,,
"Acreage Highway 252 Skye Glen, NS B0E 3M0",0.0,0.0,90000.0,,,0,1350360.0,Land,,
"105 Highway Baddeck, NS B0E 1B0",0.0,0.0,100000.0,,,0,540144.0,Land,,
"761 Stoney Point Rd Orangedale, NS B0E 2K0",45.896683,-61.058292,689000.0,2.0,2.0,0,93654.0,Single Family,,
"Cabot Trail Grand Tang, NS B0E 1L0",0.0,0.0,150000.0,,,0,331540.0,Land,,
"995 Smithville Rd Smithville, NS B0E 1X0",0.0,0.0,469000.0,2.0,2.0,0,103237.0,Single Family,,2020.0
"707 Bernard St Port Hawkesbury, NS B0E 2V0",45.611229,-61.353516,670000.0,5.0,4.0,0,11631.0,Single Family,,2010.0
"166 Acres 344 Hwy Manassette Lake, NS B0E 2G0",0.0,0.0,157000.0,,,0,7230960.0,Land,,
"55 Acres 316 Hwy Port Felix, NS B0E 2G0",0.0,0.0,170000.0,,,0,2395800.0,Land,,
"Lot 6 Hwy 320 Lennox Passage, NS B0E 1V0",0.0,0.0,19900.0,,,0,21000.0,Land,,
"Lot 5 Hwy 320 Lennox Passage, NS B0E 1V0",0.0,0.0,19900.0,,,0,21000.0,Land,,
"No 4 Highway False Bay, NS B0E 2X0",0.0,0.0,29999.0,,,0,217800.0,Land,,
"Lot 16 Walkerville Rd Walkerville, NS B0E 1J0",0.0,0.0,27000.0,,,0,178160.0,Land,,
"Lot 15 Walkerville Rd Walkerville, NS B0E 1J0",0.0,0.0,27000.0,,,0,208217.0,Land,,
"Portion Of 1 Highway 395 East Lake Ainslie, NS B0E 3M0",0.0,0.0,885700.0,3.0,2.0,0,217800.0,Single Family,,
"1-24 Scotsville Rd Kenloch, NS B0E 1N0",0.0,0.0,25000.0,,,0,33907.0,Land,,
"431 Southside Petit De Grat Rd Alderney Point, NS B0E 2L0",0.0,0.0,529900.0,5.0,4.0,0,26319.0,Single Family,Cape Cod,1991.0
"455 Main St #3 Port Hood, NS B0E 2W0",46.026054,-61.537235,499000.0,,,0,130680.0,Land,,
"3200 W Bay Rd St George's Channel, NS B0E 3K0",45.713993,-61.056149,339000.0,2.0,2.0,0,104862.0,Single Family,,1999.0
"South Cove Road South Cove, NS B0E 1T0",0.0,0.0,110000.0,,,0,65340.0,Land,,
"99-16 Nature Dream Blvd Roberta, NS B0E 3B0",0.0,0.0,75000.0,,,0,101059.0,Land,,
"Acreage South Cove Road South Cove, NS B0E 1T0",0.0,0.0,196800.0,,,0,3571920.0,Land,,
"Lot 30 Militia Point Road Militia Point, NS B0E 2Y0",0.0,0.0,99000.0,,,0,97988.0,Land,,
"Lot 31 Militia Point Road Militia Point, NS B0E 2Y0",0.0,0.0,259000.0,,,0,273509.0,Land,,
"389 Hwy 320 Louisdale, NS B0E 1V0",0.0,0.0,399900.0,4.0,2.0,0,44867.0,Single Family,Bungalow,
"10797 Highway 105 Aberdeen, NS B0E 3M0",0.0,0.0,419000.0,3.0,2.0,0,1176120.0,Single Family,,1998.0
"Lot 2 Perry Lane Lennox Passage, NS B0E 1K0",0.0,0.0,135000.0,,,0,138956.0,Land,,
"Lot 7 Theresa Grande Anse, NS B0E 1V0",0.0,0.0,110000.0,,,0,157905.0,Land,,
"18 High St Baddeck, NS B0E 1B0",46.102704,-60.75483,99000.0,,,0,7937.0,Land,,
"Highway 344 Mulgrave, NS B0E 2G0",0.0,0.0,960000.0,,,0,5967720.0,Land,,
"39 Walkerville Rd Walkerville, NS B0E 1J0",0.0,0.0,350000.0,,,0,487872.0,Land,,
"1 Cape Auguet Rd #-8 West Arichat, NS B0E 1A0",0.0,0.0,390000.0,,,0,1436999936.0,Land,,
"Lot 6 Macleods Pond Rd Roberta, NS B0E 3K0",0.0,0.0,59000.0,,,0,115434.0,Land,,
"Big Baddeck Road Baddeck Forks, NS B0E 1B0",0.0,0.0,45000.0,,,0,435600.0,Land,,
